"","H2O-041-513-718-1F_filt.fastq.gz","H2O-042-515-718-1F_filt.fastq.gz","H2O-043-516-718-1F_filt.fastq.gz","H2O-044-517-718-1F_filt.fastq.gz","H2O-045-518-719-1F_filt.fastq.gz","H2O-046-520-719-1F_filt.fastq.gz","H2O-047-521-719-1F_filt.fastq.gz","H2O-048-522-719-1F_filt.fastq.gz","H2O-049-502-719-1F_filt.fastq.gz","H2O-050-503-719-1F_filt.fastq.gz","H2O-051-505-719-1F_filt.fastq.gz","H2O-052-506-719-1F_filt.fastq.gz","H2O-053-507-719-1F_filt.fastq.gz","H2O-054-508-719-1F_filt.fastq.gz","H2O-055-510-719-1F_filt.fastq.gz","H2O-056-511-720-1F_filt.fastq.gz","H2O-057-513-720-1F_filt.fastq.gz","H2O-058-515-720-1F_filt.fastq.gz","H2O-059-516-720-1F_filt.fastq.gz","H2O-060-517-720-1F_filt.fastq.gz","H2O-061-521-720-1F_filt.fastq.gz","H2O-062-520-720-1F_filt.fastq.gz","NP-001-502-714-1F_filt.fastq.gz","NP-002-503-714-1F_filt.fastq.gz","NP-003-505-714-1F_filt.fastq.gz","NP-004-506-714-1F_filt.fastq.gz","NP-007-510-714-1F_filt.fastq.gz","NP-008-511-714-1F_filt.fastq.gz","NP-009-513-714-1F_filt.fastq.gz","NP-010-515-714-1F_filt.fastq.gz","NP-011-516-715-1F_filt.fastq.gz","NP-014-520-715-1F_filt.fastq.gz","NP-015-521-715-1F_filt.fastq.gz","NP-017-502-715-1F_filt.fastq.gz","NP-018-503-715-1F_filt.fastq.gz","NP-019-505-715-1F_filt.fastq.gz","NP-022-508-715-1F_filt.fastq.gz","NP-025-513-716-1F_filt.fastq.gz","NP-026-515-716-1F_filt.fastq.gz","NP-027-516-716-1F_filt.fastq.gz","NP-028-517-716-1F_filt.fastq.gz","NP-029-518-716-1F_filt.fastq.gz","NP-034-503-718-1F_filt.fastq.gz","NP-035-505-718-1F_filt.fastq.gz","NP-036-506-718-1F_filt.fastq.gz","NP-037-507-718-1F_filt.fastq.gz"
"ASV1",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8171,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3775,0,0,0,9714
"ASV3",7,50,7,21,9,4,8,27,9,26,14,6,72,1,6,8,5,9,6,6,5,5,470,17,404,266,79,84,631,331,1554,6241,5088,294,4,5,10,149,360,7052,976,1223,1748,189,5836,23
"ASV4",0,4,1,2,2,2,4,3,0,6,1,0,0,1,1,0,0,1,0,0,0,0,1439,561,741,0,140,2826,877,4792,4434,4010,1801,1313,0,0,7023,4091,1423,294,1108,1657,2020,3399,465,1
"ASV5",1047,2161,2752,2891,3143,1142,822,1614,1861,1824,4568,1646,1418,1408,2121,1412,1566,1461,2461,1499,1286,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV6",0,0,0,0,0,5,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,89,0,55,7,11,651,9057,4305,4128,511,3134,7973,9785,5,97,5743,8490,2251,0,0,6845,3386,0,226
"ASV9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV12",936,1574,1120,1429,1221,1488,1423,1415,1275,1566,1019,926,1116,1463,1462,1711,1460,1898,1000,1574,1973,1916,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
"ASV15",1963,505,1068,761,766,1778,2049,1423,2221,1471,1799,1365,1006,1166,1282,1344,1233,1046,1328,1128,1090,1119,1,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0
"ASV16",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0
