Genus,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz
Mycoplasma,0,0,0,0,0,0,0,0,0,3,0
Brevinema,0,0,0,0,0,0,0,0,0,0,0
Aeromonas,7,50,7,21,9,4,8,27,9,26,14
Plesiomonas,0,4,1,2,2,2,4,3,0,6,1
Pseudarcicella,1047,2161,2752,2891,3143,1142,822,1614,1861,1824,4568
Cetobacterium,0,0,0,0,0,5,2,5,0,5,0
Mailhella,0,0,0,0,0,0,0,0,0,0,0
hgcI_clade,936,1574,1120,1429,1221,1488,1423,1415,1275,1566,1019
Limnohabitans,1963,505,1068,761,766,1778,2049,1423,2221,1471,1799
Vibrio,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_1,0,30,1,3,1,2,0,6,3,13,0
Variovorax,401,91,122,80,61,309,324,227,267,176,253
Aurantimicrobium,98,74,44,6,4,72,48,108,51,12,3
Sediminibacterium,917,993,1488,461,491,1381,1449,949,951,432,461
Polynucleobacter,643,220,415,161,170,725,849,764,871,369,276
Paraclostridium,0,17,4,6,0,0,1,0,1,6,0
Terrisporobacter,0,7,0,0,0,1,0,0,0,0,0
Rhodoluna,228,84,64,120,83,226,192,117,66,148,102
Fluviicola,1037,912,1257,1327,951,926,970,1082,955,777,609
Flavobacterium,2029,498,719,2118,2035,947,959,670,529,1300,1111
Candidatus_Methylopumilus,268,36,180,30,26,263,289,135,290,53,52
Oscillatoria_PCC-10802,0,0,0,0,0,1,0,0,0,0,0
Solitalea,187,52,66,46,21,195,221,54,57,39,13
Romboutsia,0,48,0,9,0,0,3,2,7,8,0
Methylotenera,136,95,66,26,54,137,110,190,129,74,21
MWH-Ta3,44,49,30,25,12,39,40,27,47,23,15
Candidatus_Planktophila,176,105,48,33,43,218,231,84,56,46,24
Sphingorhabdus,46,23,45,15,23,35,62,14,25,25,16
Clostridium_sensu_stricto_13,6,137,0,0,4,0,4,5,0,4,0
Candidatus_Aquiluna,15,22,15,58,76,25,20,19,23,84,48
Methylocaldum,0,131,0,18,1,0,0,17,4,44,3
Silvanigrella,0,6,0,0,0,0,0,0,0,3,0
Tabrizicola,17,123,60,147,308,11,16,76,53,225,42
Luteolibacter,2,286,100,20,9,0,5,308,110,43,9
Pseudorhodobacter,76,100,115,22,17,82,90,99,91,22,19
C39,2,1,0,0,0,8,1,0,2,2,1
Candidatus_Planktoluna,142,15,19,58,45,115,118,27,13,74,41
Thiodictyon,4,60,0,0,0,3,0,0,0,16,0
Chromobacterium,0,3,0,1,3,0,0,0,0,9,0
Macellibacteroides,0,0,0,0,0,0,0,0,0,3,0
Curvibacter,100,40,83,2,17,133,146,82,124,43,36
Sphingomonas,0,0,0,0,0,0,0,0,0,1,0
Candidatus_Methylospira,3,28,1,2,0,0,0,6,0,3,3
Rubellimicrobium,0,139,6,67,13,0,0,38,3,123,7
Z-35,0,0,0,0,0,0,2,1,5,7,0
Methylomonas,19,37,3,2,0,175,61,32,5,0,0
Epulopiscium,0,8,0,0,1,0,0,0,0,4,0
Aphanizomenon_NIES81,0,7,0,8,11,0,1,8,3,65,0
Ideonella,4,24,5,15,38,9,7,22,14,29,5
Silanimonas,0,4,5,31,107,0,0,10,11,44,10
IMCC26134,0,2,2,7,2,0,0,0,0,0,0
Acinetobacter,14,10,151,12,11,0,0,8,7,0,4
Gloeotrichia_PYH6,0,4,0,1,2,0,0,0,7,0,0
Rheinheimera,11,18,58,29,152,0,3,9,8,17,10
GKS98_freshwater_group,17,7,31,4,5,17,21,20,65,5,5
Terrimonas,0,80,1,14,4,0,0,16,0,18,2
