Genus,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,AVG,/10835,%,SD,/10835,%,SE
Plesiomonas,0,4,1,2,2,2,4,3,0,6,1,2.272727273,0.000209758,0.020975794,1.848832555,0.000170635,0.017063522,0.005144845
Cetobacterium,0,0,0,0,0,5,2,5,0,5,0,1.545454545,0.000142635,0.01426354,2.296241989,0.000211928,0.021192819,0.006389875
Aeromonas,7,50,7,21,9,4,8,27,9,26,14,16.54545455,0.001527038,0.15270378,13.67745325,0.00126234,0.126233994,0.038060981
Clostridium_sensu_stricto_1,0,30,1,3,1,2,0,6,3,13,0,5.363636364,0.000495029,0.049502874,9.014130322,0.000831946,0.083194558,0.025084103
,,,,,,,,,,,,,,,,,,
ALL CORE GUT MICROBIOTA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Plesiomonas,0,4,1,2,2,2,4,3,0,6,1,2.272727273,0.000209758,0.020975794,1.848832555,0.000170635,0.017063522,0.005144845
Cetobacterium,0,0,0,0,0,5,2,5,0,5,0,1.545454545,0.000142635,0.01426354,2.296241989,0.000211928,0.021192819,0.006389875
Aeromonas,7,50,7,21,9,4,8,27,9,26,14,16.54545455,0.001527038,0.15270378,13.67745325,0.00126234,0.126233994,0.038060981
Clostridium_sensu_stricto_1,0,30,1,3,1,2,0,6,3,13,0,5.363636364,0.000495029,0.049502874,9.014130322,0.000831946,0.083194558,0.025084103
