Genus,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz
Mycoplasma,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevinema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas,84,631,331,1554,6241,5088,294,4,5,10,149,360,7052,1748,189
Plesiomonas,2826,877,4792,4434,4010,1801,1313,0,0,7023,4091,1423,294,2020,3399
Pseudarcicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetobacterium,651,9057,4305,4128,511,3134,7973,9785,5,97,5743,8490,2251,6845,3386
Mailhella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hgcI_clade,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
Limnohabitans,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0
Vibrio,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0
Clostridium_sensu_stricto_1,3213,153,951,268,4,162,319,0,24,1571,643,34,283,21,1904
Variovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurantimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediminibacterium,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0
Polynucleobacter,0,0,0,0,0,0,0,264,0,0,0,0,3,0,54
Paraclostridium,157,0,10,268,0,573,0,0,1,2083,4,499,69,0,0
Terrisporobacter,419,53,199,108,0,0,0,0,0,0,166,18,79,0,261
Rhodoluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluviicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Methylopumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillatoria_PCC-10802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romboutsia,596,0,0,0,0,42,370,0,0,6,1,4,43,0,96
Methylotenera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWH-Ta3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Planktophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_13,128,0,70,0,0,0,0,0,0,0,6,0,190,0,256
Candidatus_Aquiluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylocaldum,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silvanigrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabrizicola,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luteolibacter,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0
Pseudorhodobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Planktoluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiodictyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromobacterium,323,0,2,0,0,0,0,0,0,0,16,0,0,0,0
Macellibacteroides,0,0,0,0,0,2,0,0,0,0,3,0,217,0,170
Curvibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,41,20,0,22,17,0,0,0,0,0,0,0,0,0,17
Candidatus_Methylospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubellimicrobium,0,0,0,0,0,0,0,0,0,0,6,0,0,179,0
Z-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epulopiscium,1822,0,157,0,0,0,0,0,0,4,2,0,354,0,1056
Aphanizomenon_NIES81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ideonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silanimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMCC26134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,0,3,8,15,0,3,0,0,0,0,0,0,0,0,0
Gloeotrichia_PYH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinheimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GKS98_freshwater_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL500-29_marine_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeromyxobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthoniobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyrobacter,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0
Dinghuibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiocapsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vogesella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Symbiobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbaspirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phormidium_IAM_M-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferruginibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLB12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylorosula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligoflexus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCHB1-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perlucidibaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria,12,0,0,0,0,0,0,183,0,0,0,0,0,0,0
Arcobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tibeticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shewanella,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Lacibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostoc_PCC-7107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabaena_XPORK15F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turicibacter,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bdellovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Bacilloplasma,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
RBG-16-49-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobium_PCC-6307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabaena_PCC-7108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasediminibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitratireductor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellulosilyticum,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
