Genus,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,AVG,/10835,%,SD,/10835,%,SE
Plesiomonas,2826,877,4792,4434,4010,1801,1313,0,0,7023,4091,1423,294,2020,3399,2553.533333,0.235674512,23.56745116,2042.800664,0.188537209,18.85372094,4.868009814
Cetobacterium,651,9057,4305,4128,511,3134,7973,9785,5,97,5743,8490,2251,6845,3386,4424.066667,0.408312567,40.83125673,3404.792913,0.314240232,31.42402319,8.1136479
Aeromonas,84,631,331,1554,6241,5088,294,4,5,10,149,360,7052,1748,189,1582.666667,0.146069835,14.60698354,2438.607907,0.225067643,22.50676425,5.811221542
Clostridium_sensu_stricto_1,3213,153,951,268,4,162,319,0,24,1571,643,34,283,21,1904,636.6666667,0.058760191,5.876019074,924.2690291,0.085304017,8.530401745,2.20254026
,,,,,,,,,,,,,,,,,,,,,,
ALL  CORE GUT MICROBIOTA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Plesiomonas,2826,877,4792,4434,4010,1801,1313,0,0,7023,4091,1423,294,2020,3399,2553.533333,0.235674512,23.56745116,2042.800664,0.188537209,18.85372094,4.868009814
Cetobacterium,651,9057,4305,4128,511,3134,7973,9785,5,97,5743,8490,2251,6845,3386,4424.066667,0.408312567,40.83125673,3404.792913,0.314240232,31.42402319,8.1136479
Aeromonas,84,631,331,1554,6241,5088,294,4,5,10,149,360,7052,1748,189,1582.666667,0.146069835,14.60698354,2438.607907,0.225067643,22.50676425,5.811221542
Clostridium_sensu_stricto_1,3213,153,951,268,4,162,319,0,24,1571,643,34,283,21,1904,636.6666667,0.058760191,5.876019074,924.2690291,0.085304017,8.530401745,2.20254026
