Genus,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz
Mycoplasma,0,0,0,0,0,0,0,0,0,0,0
Brevinema,0,0,0,0,0,0,0,0,0,0,0
Aeromonas,6,72,1,6,8,5,9,6,6,5,5
Plesiomonas,0,0,1,1,0,0,1,0,0,0,0
Pseudarcicella,1646,1418,1408,2121,1412,1566,1461,2461,1499,1286,1058
Cetobacterium,0,0,0,0,0,0,0,0,0,0,0
Mailhella,0,0,0,1,0,0,0,0,0,0,0
hgcI_clade,926,1116,1463,1462,1711,1460,1898,1000,1574,1973,1916
Limnohabitans,1365,1006,1166,1282,1344,1233,1046,1328,1128,1090,1119
Vibrio,6,0,0,0,0,2,4,1,0,0,2
Clostridium_sensu_stricto_1,1,14,1,1,4,5,0,4,7,2,2
Variovorax,154,98,106,109,199,218,135,294,214,187,193
Aurantimicrobium,85,65,63,36,68,51,59,49,171,143,206
Sediminibacterium,771,658,1061,1243,748,635,778,911,967,984,895
Polynucleobacter,353,440,331,415,908,1224,654,358,238,325,297
Paraclostridium,2,2,0,0,0,1,0,0,0,0,0
Terrisporobacter,0,3,0,0,0,0,0,0,0,0,0
Rhodoluna,230,269,318,261,461,438,464,399,491,488,551
Fluviicola,505,500,537,466,982,977,1258,1129,939,1138,1350
Flavobacterium,1121,1198,1501,1154,1340,1331,1597,1416,1364,1623,1604
Candidatus_Methylopumilus,160,310,250,276,322,234,242,98,167,242,243
Oscillatoria_PCC-10802,522,574,2100,1387,0,0,0,0,0,0,8
Solitalea,63,83,44,59,194,138,179,153,103,93,140
Romboutsia,1,10,1,1,2,0,1,3,4,0,1
Methylotenera,97,118,45,63,266,280,122,98,75,77,53
MWH-Ta3,13,8,13,15,13,17,25,21,21,24,23
Candidatus_Planktophila,21,45,26,28,142,114,172,88,138,138,124
Sphingorhabdus,31,24,30,31,55,75,77,48,99,92,117
Clostridium_sensu_stricto_13,0,2,0,0,2,0,0,0,0,0,0
