Genus,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,AVG,/10835,%,SD,/10835,%,SE
Plesiomonas,0,0,1,1,0,0,1,0,0,0,0,0.272727273,2.5171E-05,0.002517095,0.467099366,4.31102E-05,0.004311023,0.001299822
Aeromonas,6,72,1,6,8,5,9,6,6,5,5,11.72727273,0.001082351,0.108235097,20.09025091,0.001854199,0.185419944,0.055906217
Clostridium_sensu_stricto_1,1,14,1,1,4,5,0,4,7,2,2,3.727272727,0.000344003,0.034400302,4.002272082,0.000369384,0.036938367,0.011137337
,,,,,,,,,,,,,,,,,,
ALL CORE MICROBIOTA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Plesiomonas,0,0,1,1,0,0,1,0,0,0,0,0.272727273,2.5171E-05,0.002517095,0.467099366,4.31102E-05,0.004311023,0.001299822
Cetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas,6,72,1,6,8,5,9,6,6,5,5,11.72727273,0.001082351,0.108235097,20.09025091,0.001854199,0.185419944,0.055906217
Clostridium_sensu_stricto_1,1,14,1,1,4,5,0,4,7,2,2,3.727272727,0.000344003,0.034400302,4.002272082,0.000369384,0.036938367,0.011137337
