Genus,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
Mycoplasma,0,9314,0,0,0,0,0,0,0
Brevinema,8171,25,0,0,0,0,3775,0,9714
Aeromonas,470,17,404,266,79,976,1223,5836,23
Plesiomonas,1439,561,741,0,140,1108,1657,465,1
Pseudarcicella,0,0,0,0,0,0,0,0,0
Cetobacterium,89,0,55,7,11,0,0,0,226
Mailhella,0,0,0,0,8747,0,0,0,0
hgcI_clade,0,0,0,0,0,0,0,0,0
Limnohabitans,1,0,0,0,0,0,0,0,0
Vibrio,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_1,635,479,5247,4904,1588,8722,1284,2738,15
Variovorax,0,0,0,0,0,0,0,0,10
Aurantimicrobium,0,0,0,0,0,0,0,0,0
Sediminibacterium,0,0,0,0,0,0,0,0,0
Polynucleobacter,0,34,0,0,0,0,0,0,0
Paraclostridium,3,28,217,2103,100,0,611,153,0
Terrisporobacter,19,227,1213,441,5,0,1076,88,0
Rhodoluna,0,0,0,0,0,0,0,0,0
Fluviicola,0,0,0,0,0,0,0,0,0
Flavobacterium,0,0,0,0,0,0,0,0,0
Candidatus_Methylopumilus,0,0,0,0,0,0,0,0,0
Oscillatoria_PCC-10802,0,0,0,0,0,0,0,0,0
Solitalea,0,0,0,0,0,0,0,0,0
Romboutsia,0,10,1106,2663,36,0,959,335,0
Methylotenera,0,0,0,0,0,0,0,0,0
MWH-Ta3,0,0,0,0,0,0,0,0,0
Candidatus_Planktophila,0,0,0,0,0,0,0,0,0
Sphingorhabdus,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto_13,0,0,186,0,3,0,48,357,0
Candidatus_Aquiluna,0,0,0,0,0,0,0,0,0
Methylocaldum,0,0,0,0,0,0,0,0,0
Silvanigrella,0,0,0,0,0,0,0,0,661
Tabrizicola,0,0,0,0,0,0,0,0,0
Luteolibacter,0,0,0,0,0,0,0,0,0
Pseudorhodobacter,0,0,0,0,0,0,0,0,0
C39,0,0,0,0,0,0,0,0,0
Candidatus_Planktoluna,0,0,0,0,0,0,0,0,0
Thiodictyon,0,0,0,0,0,0,0,0,0
Chromobacterium,0,0,0,3,12,0,0,0,0
Macellibacteroides,0,0,15,0,0,0,0,0,0
Curvibacter,0,0,0,0,0,0,0,0,0
Sphingomonas,5,16,21,16,2,29,5,0,0
Candidatus_Methylospira,0,0,0,0,0,0,0,0,0
Rubellimicrobium,0,0,0,0,0,0,0,0,0
Z-35,0,0,0,0,0,0,0,0,0
Methylomonas,0,0,0,0,0,0,0,0,0
Epulopiscium,0,8,1388,76,5,0,127,418,0
Aphanizomenon_NIES81,0,0,0,0,0,0,0,0,0
Ideonella,0,0,0,0,0,0,0,0,0
Silanimonas,0,0,0,0,0,0,0,0,0
IMCC26134,0,0,0,0,0,0,0,0,0
Acinetobacter,0,28,31,10,3,0,0,39,50
Gloeotrichia_PYH6,0,0,0,0,0,0,0,0,0
Rheinheimera,0,14,0,0,0,0,0,0,0
GKS98_freshwater_group,0,6,0,0,0,0,0,0,0
Terrimonas,0,0,0,0,0,0,0,0,0
CL500-29_marine_group,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0
Anaeromyxobacter,0,0,0,0,0,0,0,0,0
Chthoniobacter,0,0,0,0,0,0,0,0,0
Porphyrobacter,0,0,0,0,0,0,0,0,0
Dinghuibacter,0,0,0,0,0,0,0,0,0
Thiocapsa,0,0,0,0,0,0,0,0,0
Vogesella,0,0,0,0,0,0,0,0,0
Terrimicrobium,0,0,0,0,0,0,0,0,0
Pelomonas,0,0,0,0,0,0,0,0,0
Candidatus_Symbiobacter,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0
Geobacter,0,0,0,0,0,0,0,0,0
Herbaspirillum,0,0,0,0,0,0,0,0,0
Phormidium_IAM_M-71,0,0,0,0,0,0,0,0,0
Ferruginibacter,0,0,0,0,0,0,0,0,0
OLB12,0,0,0,0,0,0,0,0,0
Methylorosula,0,0,0,0,0,0,0,0,0
Oligoflexus,0,0,0,0,0,0,0,0,0
Methylobacter,0,0,0,0,0,0,0,0,0
WCHB1-32,0,0,0,0,0,0,0,0,0
Perlucidibaca,0,0,0,0,0,0,0,0,0
Arenimonas,0,0,0,0,0,0,0,0,0
Neisseria,0,0,0,137,0,0,0,0,0
Arcobacter,0,0,0,0,0,0,0,0,0
Tibeticola,0,0,0,0,0,0,0,0,0
Shewanella,0,23,5,39,38,0,21,0,0
Lacibacter,0,0,0,0,0,0,0,0,0
Nostoc_PCC-7107,0,0,0,0,0,0,0,0,0
Anabaena_XPORK15F,0,0,0,0,0,0,0,0,0
Turicibacter,0,0,0,0,0,0,18,0,0
Bdellovibrio,0,0,0,0,0,0,0,0,0
Candidatus_Bacilloplasma,0,0,0,0,0,0,0,0,0
Azospira,0,0,0,0,0,0,0,0,0
Chlorobium,0,0,0,0,0,0,0,0,0
Pseudomonas,0,12,0,4,0,0,0,0,0
Pedobacter,0,0,0,0,0,0,0,0,0
RBG-16-49-21,0,0,0,0,0,0,0,0,0
Alsobacter,0,0,0,0,0,0,0,0,0
Cyanobium_PCC-6307,0,0,0,0,0,0,0,0,0
Anabaena_PCC-7108,0,0,0,0,0,0,0,0,0
Hymenobacter,0,0,0,0,0,0,0,121,0
Geothrix,0,0,0,0,0,0,0,0,0
Parasediminibacterium,0,0,0,0,0,0,0,0,0
Nitratireductor,0,0,0,0,0,0,0,0,0
Arcicella,0,0,0,0,0,0,0,0,0
Cellulosilyticum,0,0,127,8,0,0,1,57,0
Lacihabitans,0,0,0,0,0,0,0,0,0
Bacteriovorax,0,0,0,0,0,0,0,0,0
Brevundimonas,0,0,0,10,13,0,14,0,38
Spirochaeta_2,0,0,0,0,0,0,0,0,0
Emticicia,0,0,0,0,0,0,0,0,0
Fodinicola,0,0,0,0,0,0,0,0,0
Corynebacterium_1,0,0,0,0,0,0,0,77,0
Bacillus,0,20,18,0,0,0,4,0,0
Roseomonas,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,40,0,0,0,0,0,0
Thiovirga,0,0,0,0,0,0,0,0,0
Lamprocystis,0,0,0,0,0,0,0,0,0
Methyloparacoccus,0,0,0,0,0,0,0,0,0
Leptothrix,0,0,0,0,0,0,0,0,0
Sarcina,0,0,0,0,0,0,0,0,0
Rubrivivax,0,0,0,0,0,0,0,0,0
Gemmatimonas,0,0,0,0,0,0,0,0,0
Candidatus_Accumulibacter,0,0,0,0,0,0,0,0,0
Planktothrix_NIVA-CYA_15,0,0,0,0,0,0,0,0,0
Dechlorobacter,0,0,0,0,0,0,0,0,0
Haliscomenobacter,0,0,0,0,0,0,0,0,0
Chitinibacter,0,0,0,0,0,0,0,0,0
Pantoea,0,0,0,0,0,0,0,0,0
Undibacterium,0,0,0,0,0,0,0,0,0
Tetrasphaera,0,0,0,0,0,0,0,0,0
Rhodobacter,0,0,0,0,0,0,0,0,0
Niveibacterium,0,0,0,0,0,0,0,0,0
Paeniclostridium,0,0,0,0,0,0,0,0,0
possible_genus_06,0,0,0,0,0,0,0,0,0
Flavisolibacter,0,0,0,0,0,0,0,0,0
Methylosoma,0,0,0,0,0,0,0,0,0
Hypnocyclicus,0,0,0,0,0,0,0,0,0
Cytophaga,0,0,0,0,0,0,0,0,0
Anabaena_PCC-7122,0,0,0,0,0,0,0,0,0
Nordella,0,0,0,0,0,0,0,0,0
Peredibacter,0,0,0,0,0,0,0,0,0
Ellin6067,0,0,0,0,0,0,0,0,0
Paenirhodobacter,0,0,0,0,0,0,0,0,0
Massilia,0,0,0,0,0,0,0,46,43
Pseudoflavitalea,0,0,0,0,0,0,0,0,0
Cloacibacterium,0,2,0,0,0,0,0,0,0
Luteitalea,0,0,0,0,0,0,0,0,0
Capnocytophaga,0,0,0,0,9,0,0,0,0
Xenophilus,0,0,0,0,0,0,0,0,0
Rhizobacter,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,0,0,0,0,0
Prosthecobacter,0,0,0,0,0,0,0,0,0
Lacunisphaera,0,0,0,0,0,0,0,0,0
Sandarakinorhabdus,0,0,0,0,0,0,0,0,0
Rhodoferax,0,0,0,0,0,0,0,0,0
Candidatus_Aquirestis,0,0,0,0,0,0,0,0,0
Sulfuritalea,0,0,0,0,0,0,0,0,0
OM27_clade,0,0,0,0,0,0,0,0,0
Glaciimonas,0,0,0,0,0,0,0,0,0
Erysipelothrix,0,0,0,0,0,0,0,0,0
Fusobacterium,0,0,0,0,8,0,3,6,0
Paludibacter,0,0,0,0,0,0,0,0,0
Acidibacter,0,0,0,0,0,0,0,0,0
Methylobacillus,0,0,0,0,0,0,0,0,0
pLW-20,0,0,0,0,0,0,0,0,0
Legionella,0,0,0,0,0,0,0,0,0
Marinagarivorans,0,0,0,0,0,0,0,0,0
Opitutus,0,0,0,0,0,0,0,0,0
Cuspidothrix_LMECYA_163,0,0,0,0,0,0,0,0,0
Treponema_2,0,0,0,0,0,0,0,0,0
Salinispira,0,0,0,0,0,0,0,0,0
Xylophilus,0,0,0,0,0,0,0,0,0
Ferribacterium,0,0,0,0,0,0,0,0,0
Parafilimonas,0,0,0,0,0,0,0,0,0
Limnobacter,0,0,0,0,0,0,0,0,0
Streptomyces,0,0,0,0,0,0,0,48,0
ADurb.Bin063-1,0,0,0,0,0,0,0,0,0
Haematospirillum,0,0,0,0,0,0,0,0,0
Asticcacaulis,0,0,0,0,0,0,0,0,0
MSBL3,0,0,0,0,0,0,0,0,0
Gemmobacter,0,0,0,0,0,0,0,0,0
LD29,0,0,0,0,0,0,0,0,0
FukuN57,0,0,0,0,0,0,0,0,0
Cephaloticoccus,0,0,0,0,0,0,0,0,0
