Genus,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz,AVG,/10835,%,SD,/10835,%,SE
Plesiomonas,1439,561,741,0,140,1108,1657,465,1,679.1111111,0.062677537,6.267753679,611.6509308,0.056451401,5.645140109,1.88171337
Aeromonas,470,17,404,266,79,976,1223,5836,23,1032.666667,0.095308414,9.530841409,1849.713762,0.170716545,17.07165447,5.690551489
Clostridium_sensu_stricto_1,635,479,5247,4904,1588,8722,1284,2738,15,2845.777778,0.262646772,26.26467723,2895.414123,0.267227884,26.7227884,8.907596133
,,,,,,,,,,,,,,,,
ALL CORE GUT MICROBIOTA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Plesiomonas,1439,561,741,0,140,1108,1657,465,1,679.1111111,0.062677537,6.267753679,611.6509308,0.056451401,5.645140109,1.88171337
Cetobacterium,89,0,55,7,11,0,0,0,226,43.11111111,0.003978875,0.397887504,75.38641198,0.006957675,0.695767531,0.23192251
Aeromonas,470,17,404,266,79,976,1223,5836,23,1032.666667,0.095308414,9.530841409,1849.713762,0.170716545,17.07165447,5.690551489
Clostridium_sensu_stricto_1,635,479,5247,4904,1588,8722,1284,2738,15,2845.777778,0.262646772,26.26467723,2895.414123,0.267227884,26.7227884,8.907596133
