Sample,Location,Genus,Abundance
NP-008-511-714-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.260821412
NP-008-511-714-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.060083064
NP-008-511-714-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.007752653
NP-008-511-714-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.296538994
NP-009-513-714-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.080941394
NP-009-513-714-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.835902169
NP-009-513-714-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.058237194
NP-009-513-714-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.014120904
NP-010-515-714-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.44227042
NP-010-515-714-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.397323489
NP-010-515-714-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.030549146
NP-010-515-714-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.087771112
NP-011-516-715-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.409229349
NP-011-516-715-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.38098754
NP-011-516-715-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.143424089
NP-011-516-715-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.024734656
NP-014-520-715-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.370096908
NP-014-520-715-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.047161975
NP-014-520-715-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.576003692
NP-014-520-715-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.000369174
NP-015-521-715-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.166220581
NP-015-521-715-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.289247808
NP-015-521-715-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.469589294
NP-015-521-715-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.014951546
NP-017-502-715-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.121181357
NP-017-502-715-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.735856022
NP-017-502-715-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.027134287
NP-017-502-715-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.029441624
NP-018-503-715-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0
NP-018-503-715-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.903091832
NP-018-503-715-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.000369174
NP-018-503-715-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0
NP-019-505-715-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0
NP-019-505-715-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.000461467
NP-019-505-715-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.000461467
NP-019-505-715-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.002215044
NP-022-508-715-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.648177204
NP-022-508-715-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.008952469
NP-022-508-715-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.000922935
NP-022-508-715-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.144993078
NP-025-513-716-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.377572681
NP-025-513-716-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.530041532
NP-025-513-716-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.013751731
NP-025-513-716-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.059344716
NP-026-515-716-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.131333641
NP-026-515-716-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.783571758
NP-026-515-716-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.033225658
NP-026-515-716-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.003137979
NP-027-516-716-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.027134287
NP-027-516-716-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.207752653
NP-027-516-716-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.650853715
NP-027-516-716-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.026119059
NP-034-503-718-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.186432856
NP-034-503-718-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.631748962
NP-034-503-718-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.161329026
NP-034-503-718-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.001938163
NP-035-505-718-1F_filt.fastq.gz,Cranberry/NP,Plesiomonas,0.313705584
NP-035-505-718-1F_filt.fastq.gz,Cranberry/NP,Cetobacterium,0.312505768
NP-035-505-718-1F_filt.fastq.gz,Cranberry/NP,Aeromonas,0.01744347
NP-035-505-718-1F_filt.fastq.gz,Cranberry/NP,Clostridium_sensu_stricto_1,0.175726811
NP-001-502-714-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0.132810337
NP-001-502-714-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0.008214121
NP-001-502-714-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.043377942
NP-001-502-714-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.058606368
NP-002-503-714-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0.05177665
NP-002-503-714-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0
NP-002-503-714-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.001568989
NP-002-503-714-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.044208583
NP-003-505-714-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0.068389479
NP-003-505-714-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0.005076142
NP-003-505-714-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.037286571
NP-003-505-714-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.484263959
NP-004-506-714-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0
NP-004-506-714-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0.000646054
NP-004-506-714-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.024550069
NP-004-506-714-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.452607291
NP-007-510-714-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0.012921089
NP-007-510-714-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0.001015228
NP-007-510-714-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.007291186
NP-007-510-714-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.146562067
NP-028-517-716-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0.102261191
NP-028-517-716-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0
NP-028-517-716-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.090078449
NP-028-517-716-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.804983849
NP-029-518-716-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0.152930318
NP-029-518-716-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0
NP-029-518-716-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.112874942
NP-029-518-716-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.118504845
NP-036-506-718-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,0.042916474
NP-036-506-718-1F_filt.fastq.gz,French Creek/NP,Cetobacterium,0
NP-036-506-718-1F_filt.fastq.gz,French Creek/NP,Aeromonas,0.538624827
NP-036-506-718-1F_filt.fastq.gz,French Creek/NP,Clostridium_sensu_stricto_1,0.252699585
NP-037-507-718-1F_filt.fastq.gz,French Creek/NP,Plesiomonas,9.22935E-05
