Name,Sample,Location
H2O-041-513-718-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-042-515-718-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-043-516-718-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-044-517-718-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-045-518-719-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-046-520-719-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-047-521-719-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-048-522-719-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-049-502-719-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-050-503-719-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-051-505-719-1F_filt.fastq.gz,H2O,Cranberry H2O
H2O-052-506-719-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-053-507-719-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-054-508-719-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-055-510-719-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-056-511-720-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-057-513-720-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-058-515-720-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-059-516-720-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-060-517-720-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-061-521-720-1F_filt.fastq.gz,H2O,French Creek H2O
H2O-062-520-720-1F_filt.fastq.gz,H2O,French Creek H2O
NP-001-502-714-1F_filt.fastq.gz,NP,French Creek NP
NP-002-503-714-1F_filt.fastq.gz,NP,French Creek NP
NP-003-505-714-1F_filt.fastq.gz,NP,French Creek NP
NP-004-506-714-1F_filt.fastq.gz,NP,French Creek NP
NP-007-510-714-1F_filt.fastq.gz,NP,French Creek NP
NP-008-511-714-1F_filt.fastq.gz,NP,Cranberry NP
NP-009-513-714-1F_filt.fastq.gz,NP,Cranberry NP
NP-010-515-714-1F_filt.fastq.gz,NP,Cranberry NP
NP-011-516-715-1F_filt.fastq.gz,NP,Cranberry NP
NP-014-520-715-1F_filt.fastq.gz,NP,Cranberry NP
NP-015-521-715-1F_filt.fastq.gz,NP,Cranberry NP
NP-017-502-715-1F_filt.fastq.gz,NP,Cranberry NP
NP-018-503-715-1F_filt.fastq.gz,NP,Cranberry NP
NP-019-505-715-1F_filt.fastq.gz,NP,Cranberry NP
NP-022-508-715-1F_filt.fastq.gz,NP,Cranberry NP
NP-025-513-716-1F_filt.fastq.gz,NP,Cranberry NP
NP-026-515-716-1F_filt.fastq.gz,NP,Cranberry NP
NP-027-516-716-1F_filt.fastq.gz,NP,Cranberry NP
NP-028-517-716-1F_filt.fastq.gz,NP,French Creek NP
NP-029-518-716-1F_filt.fastq.gz,NP,French Creek NP
NP-034-503-718-1F_filt.fastq.gz,NP,Cranberry NP
NP-035-505-718-1F_filt.fastq.gz,NP,Cranberry NP
NP-036-506-718-1F_filt.fastq.gz,NP,French Creek NP
NP-037-507-718-1F_filt.fastq.gz,NP,French Creek NP
