Name,Sample,Location,Position
H2O-041-513-718-1F_filt.fastq.gz,H2O,Cranberry H2O,TOP
H2O-042-515-718-1F_filt.fastq.gz,H2O,Cranberry H2O,BOTTOM
H2O-043-516-718-1F_filt.fastq.gz,H2O,Cranberry H2O,TOP
H2O-044-517-718-1F_filt.fastq.gz,H2O,Cranberry H2O,BOTTOM
H2O-045-518-719-1F_filt.fastq.gz,H2O,Cranberry H2O,TOP
H2O-046-520-719-1F_filt.fastq.gz,H2O,Cranberry H2O,BOTTOM
H2O-047-521-719-1F_filt.fastq.gz,H2O,Cranberry H2O,TOP
H2O-048-522-719-1F_filt.fastq.gz,H2O,Cranberry H2O,BOTTOM
H2O-049-502-719-1F_filt.fastq.gz,H2O,Cranberry H2O,TOP
H2O-050-503-719-1F_filt.fastq.gz,H2O,Cranberry H2O,BOTTOM
H2O-051-505-719-1F_filt.fastq.gz,H2O,Cranberry H2O,TOP
H2O-052-506-719-1F_filt.fastq.gz,H2O,French Creek H2O,BOTTOM
H2O-053-507-719-1F_filt.fastq.gz,H2O,French Creek H2O,BOTTOM
H2O-054-508-719-1F_filt.fastq.gz,H2O,French Creek H2O,TOP
H2O-055-510-719-1F_filt.fastq.gz,H2O,French Creek H2O,TOP
H2O-056-511-720-1F_filt.fastq.gz,H2O,French Creek H2O,BOTTOM
H2O-057-513-720-1F_filt.fastq.gz,H2O,French Creek H2O,BOTTOM
H2O-058-515-720-1F_filt.fastq.gz,H2O,French Creek H2O,TOP
H2O-059-516-720-1F_filt.fastq.gz,H2O,French Creek H2O,TOP
H2O-060-517-720-1F_filt.fastq.gz,H2O,French Creek H2O,BOTTOM
H2O-061-521-720-1F_filt.fastq.gz,H2O,French Creek H2O,BOTTOM
H2O-062-520-720-1F_filt.fastq.gz,H2O,French Creek H2O,TOP
