Name,Sample,Location,Size
NP-001-502-714-1F_filt.fastq.gz,NP,French Creek,61-70
NP-002-503-714-1F_filt.fastq.gz,NP,French Creek,51-60
NP-003-505-714-1F_filt.fastq.gz,NP,French Creek,61-70
NP-004-506-714-1F_filt.fastq.gz,NP,French Creek,51-60
NP-007-510-714-1F_filt.fastq.gz,NP,French Creek,51-60
NP-008-511-714-1F_filt.fastq.gz,NP,Cranberry,71-80
NP-009-513-714-1F_filt.fastq.gz,NP,Cranberry,81-90
NP-010-515-714-1F_filt.fastq.gz,NP,Cranberry,71-80
NP-011-516-715-1F_filt.fastq.gz,NP,Cranberry,61-70
NP-014-520-715-1F_filt.fastq.gz,NP,Cranberry,61-70
NP-015-521-715-1F_filt.fastq.gz,NP,Cranberry,61-70
NP-017-502-715-1F_filt.fastq.gz,NP,Cranberry,81-90
NP-018-503-715-1F_filt.fastq.gz,NP,Cranberry,91-100+
NP-019-505-715-1F_filt.fastq.gz,NP,Cranberry,91-100+
NP-022-508-715-1F_filt.fastq.gz,NP,Cranberry,81-90
NP-025-513-716-1F_filt.fastq.gz,NP,Cranberry,81-90
NP-026-515-716-1F_filt.fastq.gz,NP,Cranberry,71-80
NP-027-516-716-1F_filt.fastq.gz,NP,Cranberry,81-90
NP-028-517-716-1F_filt.fastq.gz,NP,French Creek,71-80
NP-029-518-716-1F_filt.fastq.gz,NP,French Creek,71-80
NP-034-503-718-1F_filt.fastq.gz,NP,Cranberry,91-100+
NP-035-505-718-1F_filt.fastq.gz,NP,Cranberry,91-100+
NP-036-506-718-1F_filt.fastq.gz,NP,French Creek,71-80
NP-037-507-718-1F_filt.fastq.gz,NP,French Creek,91-100+
