ASV,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-023-510-707-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-030-520-716-1F_filt.fastq.gz,NP-031-521-716-1F_filt.fastq.gz,NP-032-522-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz,NP-038-508-718-1F_filt.fastq.gz
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36100,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,70723,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,0,0,0,0,0,0,0,4305,0,0,0,23355,13778
3,1,18,11,13,11,4,8,12,6,22,10,9,42,0,2,4,7,10,10,4,10,0,848,7,1073,145,129,125,463,223,2034,20541,6556,305,5,23,26,89,199,458,21136,474,2740,5,6,88,2848,68,3816,1,13536
4,0,4,4,0,2,0,5,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3481,1401,1944,0,207,4754,464,4719,7439,4725,3342,204,0,0,15331,85,2995,2825,563,661,6141,0,9398,0,1003,4704,456,0,0
5,1581,1583,4587,5633,7529,1540,1340,1020,2929,3699,9626,2069,1878,2265,1937,1130,1754,1753,2711,1272,4519,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,201,4,0,0,26,297,1501,897,10897,0,8691,0,14378,0,0,68,7118,310,8256,0,0,0,0,94,9938,1090,0,0,5360
7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,18,14552,5235,277,1530,226,6633,0,19,251,8153,954,21630,0,0,0,0,737,88,4336,6342,0,2,0
8,2221,192,718,559,490,1718,2156,643,1698,1293,1718,719,529,568,405,738,1128,829,1365,602,2260,927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27427,0,0,0,0,0,0,0,0,0,0,29530,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,2,2,4,2,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2654,777,505,0,167,3563,635,2800,4655,5789,2905,323,0,0,4826,235,6006,954,551,1894,1330,0,209,1453,3135,2597,279,1,0
