ASV,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz
ASV1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ASV2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV3,17,51,21,50,28,6,23,28,15,68,29,9,163,7,10,11,10,15,14,10,22,9
ASV4,0,4,4,3,4,5,7,3,0,12,2,0,0,1,2,0,0,2,0,0,0,0
ASV5,2293,2248,7120,6517,8974,2243,1893,1722,4338,4333,11667,3296,3290,3795,3155,2059,3318,3141,4634,1899,6762,2327
ASV6,0,0,1,0,0,12,7,5,0,10,0,0,0,0,0,0,0,2,0,0,1,0
ASV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV12,2278,1635,2801,3176,3343,3130,3256,1516,2914,3732,2626,1838,2624,3982,2223,2497,3139,3979,1886,2034,9887,4126
ASV15,4589,521,2768,1704,2119,3671,4582,1517,5153,3435,4583,2687,2373,3078,1960,2000,2650,2201,2583,1434,5833,2404
ASV16,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,4,1,0,0,4
ASV17,0,31,2,9,2,5,0,7,4,26,0,2,29,6,1,7,9,0,7,7,11,3
ASV19,861,96,279,193,183,646,732,241,557,415,621,295,240,260,166,285,464,321,571,269,1014,426
ASV21,212,77,123,14,13,155,113,113,112,31,6,159,179,149,52,97,117,121,114,210,790,439
ASV24,2201,1030,3730,959,1360,2710,3242,1001,2167,1028,1195,1559,1530,2918,1831,1077,1450,1628,1674,1242,5130,1893
ASV27,1515,232,1065,373,484,1498,1962,802,2021,807,729,720,1063,848,608,1350,2621,1406,677,297,1872,631
ASV29,2,17,10,11,0,0,1,0,2,14,0,3,12,0,0,0,2,0,0,0,3,0
ASV30,4,7,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
ASV31,524,85,171,285,247,434,399,125,172,354,230,507,590,864,396,697,928,973,737,643,2487,1213
ASV34,2384,941,3212,3036,2647,1879,2222,1159,2227,1861,1501,1046,1200,1370,671,1404,2167,2691,2098,1212,5934,2958
ASV35,4734,525,1799,4839,5885,1900,2101,711,1202,3038,2764,2264,2761,4034,1724,1986,3055,3375,2733,1775,8286,3469
ASV38,605,37,459,69,73,530,684,141,657,131,131,331,707,679,409,480,507,505,180,207,1278,562
ASV46,0,0,0,0,0,1,0,0,0,0,0,1032,1343,5496,2091,0,0,0,0,0,0,15
ASV63,429,53,156,100,66,354,474,59,130,79,34,99,189,127,88,279,277,376,305,132,504,293
ASV64,0,49,0,14,0,2,7,2,10,15,0,3,26,4,2,3,2,2,4,5,6,2
ASV65,281,96,194,80,145,262,248,200,263,176,47,217,267,149,92,419,611,232,167,90,384,93
ASV81,88,50,100,62,40,74,89,30,105,64,41,36,19,26,19,22,38,44,36,28,146,59
ASV86,395,107,104,79,108,433,474,92,157,120,58,41,85,72,41,216,242,347,168,178,688,298
