,CH_1_ALLSEQS_Rare_numSampled,variable,value,Location/Type
1,1,userLabel.H2O.041.513.718.1F_filt.fastq.gz,1,Cranberry/H2O
2,100,userLabel.H2O.041.513.718.1F_filt.fastq.gz,18.131,Cranberry/H2O
3,200,userLabel.H2O.041.513.718.1F_filt.fastq.gz,23.116,Cranberry/H2O
4,300,userLabel.H2O.041.513.718.1F_filt.fastq.gz,26.446,Cranberry/H2O
5,400,userLabel.H2O.041.513.718.1F_filt.fastq.gz,29.148,Cranberry/H2O
6,500,userLabel.H2O.041.513.718.1F_filt.fastq.gz,31.533,Cranberry/H2O
7,600,userLabel.H2O.041.513.718.1F_filt.fastq.gz,33.564,Cranberry/H2O
8,700,userLabel.H2O.041.513.718.1F_filt.fastq.gz,35.398,Cranberry/H2O
9,800,userLabel.H2O.041.513.718.1F_filt.fastq.gz,37.14,Cranberry/H2O
10,900,userLabel.H2O.041.513.718.1F_filt.fastq.gz,38.696,Cranberry/H2O
11,1000,userLabel.H2O.041.513.718.1F_filt.fastq.gz,40.119,Cranberry/H2O
12,1100,userLabel.H2O.041.513.718.1F_filt.fastq.gz,41.466,Cranberry/H2O
13,1200,userLabel.H2O.041.513.718.1F_filt.fastq.gz,42.742,Cranberry/H2O
14,1300,userLabel.H2O.041.513.718.1F_filt.fastq.gz,43.965,Cranberry/H2O
15,1400,userLabel.H2O.041.513.718.1F_filt.fastq.gz,45.055,Cranberry/H2O
16,1500,userLabel.H2O.041.513.718.1F_filt.fastq.gz,46.052,Cranberry/H2O
17,1600,userLabel.H2O.041.513.718.1F_filt.fastq.gz,47.006,Cranberry/H2O
18,1700,userLabel.H2O.041.513.718.1F_filt.fastq.gz,47.899,Cranberry/H2O
19,1800,userLabel.H2O.041.513.718.1F_filt.fastq.gz,48.742,Cranberry/H2O
20,1900,userLabel.H2O.041.513.718.1F_filt.fastq.gz,49.52,Cranberry/H2O
21,2000,userLabel.H2O.041.513.718.1F_filt.fastq.gz,50.304,Cranberry/H2O
22,2100,userLabel.H2O.041.513.718.1F_filt.fastq.gz,51.087,Cranberry/H2O
23,2200,userLabel.H2O.041.513.718.1F_filt.fastq.gz,51.826,Cranberry/H2O
