,CH_1_ALLSEQS_Rare_numSampled,variable,value,Location/Type
1,1,userLabel.NP.001.502.714.1F_filt.fastq.gz,1,French Creek/NP
2,100,userLabel.NP.001.502.714.1F_filt.fastq.gz,4.758,French Creek/NP
3,200,userLabel.NP.001.502.714.1F_filt.fastq.gz,5.228,French Creek/NP
4,300,userLabel.NP.001.502.714.1F_filt.fastq.gz,5.574,French Creek/NP
5,400,userLabel.NP.001.502.714.1F_filt.fastq.gz,5.794,French Creek/NP
6,500,userLabel.NP.001.502.714.1F_filt.fastq.gz,5.955,French Creek/NP
7,600,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.085,French Creek/NP
8,700,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.215,French Creek/NP
9,800,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.314,French Creek/NP
10,900,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.417,French Creek/NP
11,1000,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.514,French Creek/NP
12,1100,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.603,French Creek/NP
13,1200,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.68,French Creek/NP
14,1300,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.751,French Creek/NP
15,1400,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.817,French Creek/NP
16,1500,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.876,French Creek/NP
17,1600,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.944,French Creek/NP
18,1700,userLabel.NP.001.502.714.1F_filt.fastq.gz,6.996,French Creek/NP
19,1800,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.049,French Creek/NP
20,1900,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.101,French Creek/NP
21,2000,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.161,French Creek/NP
22,2100,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.206,French Creek/NP
23,2200,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.25,French Creek/NP
24,2300,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.294,French Creek/NP
25,2400,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.34,French Creek/NP
26,2500,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.383,French Creek/NP
27,2600,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.438,French Creek/NP
28,2700,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.488,French Creek/NP
29,2800,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.535,French Creek/NP
30,2900,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.577,French Creek/NP
31,3000,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.622,French Creek/NP
32,3100,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.672,French Creek/NP
33,3200,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.709,French Creek/NP
34,3300,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.745,French Creek/NP
35,3400,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.791,French Creek/NP
36,3500,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.826,French Creek/NP
37,3600,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.86,French Creek/NP
38,3700,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.897,French Creek/NP
39,3800,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.924,French Creek/NP
40,3900,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.954,French Creek/NP
41,4000,userLabel.NP.001.502.714.1F_filt.fastq.gz,7.988,French Creek/NP
42,4100,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.026,French Creek/NP
43,4200,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.059,French Creek/NP
44,4300,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.1,French Creek/NP
45,4400,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.136,French Creek/NP
46,4500,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.162,French Creek/NP
47,4600,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.193,French Creek/NP
48,4700,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.211,French Creek/NP
49,4800,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.238,French Creek/NP
50,4900,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.269,French Creek/NP
51,5000,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.292,French Creek/NP
52,5100,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.322,French Creek/NP
53,5200,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.352,French Creek/NP
54,5300,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.384,French Creek/NP
55,5400,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.405,French Creek/NP
56,5500,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.429,French Creek/NP
57,5600,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.456,French Creek/NP
58,5700,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.477,French Creek/NP
59,5800,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.505,French Creek/NP
60,5900,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.531,French Creek/NP
61,6000,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.558,French Creek/NP
62,6100,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.577,French Creek/NP
63,6200,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.597,French Creek/NP
64,6300,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.618,French Creek/NP
65,6400,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.648,French Creek/NP
66,6500,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.67,French Creek/NP
67,6600,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.689,French Creek/NP
68,6700,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.717,French Creek/NP
69,6800,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.732,French Creek/NP
70,6900,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.759,French Creek/NP
71,7000,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.782,French Creek/NP
72,7100,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.806,French Creek/NP
73,7200,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.82,French Creek/NP
74,7300,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.839,French Creek/NP
75,7400,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.857,French Creek/NP
76,7500,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.878,French Creek/NP
77,7600,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.894,French Creek/NP
78,7700,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.912,French Creek/NP
79,7800,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.937,French Creek/NP
80,7900,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.953,French Creek/NP
81,8000,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.973,French Creek/NP
82,8100,userLabel.NP.001.502.714.1F_filt.fastq.gz,8.986,French Creek/NP
83,8200,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.014,French Creek/NP
84,8300,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.021,French Creek/NP
85,8400,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.039,French Creek/NP
86,8500,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.053,French Creek/NP
87,8600,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.075,French Creek/NP
88,8700,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.091,French Creek/NP
89,8800,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.113,French Creek/NP
90,8900,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.127,French Creek/NP
91,9000,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.144,French Creek/NP
92,9100,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.164,French Creek/NP
93,9200,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.179,French Creek/NP
94,9300,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.193,French Creek/NP
95,9400,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.213,French Creek/NP
96,9500,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.231,French Creek/NP
97,9600,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.246,French Creek/NP
98,9700,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.259,French Creek/NP
99,9800,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.276,French Creek/NP
100,9900,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.284,French Creek/NP
101,10000,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.29,French Creek/NP
102,10100,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.3,French Creek/NP
103,10200,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.306,French Creek/NP
104,10300,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.316,French Creek/NP
105,10400,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.336,French Creek/NP
106,10500,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.352,French Creek/NP
107,10600,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.363,French Creek/NP
108,10700,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.38,French Creek/NP
109,10800,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.399,French Creek/NP
110,10835,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.404,French Creek/NP
111,10900,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.408,French Creek/NP
112,11000,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.419,French Creek/NP
113,11100,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.433,French Creek/NP
114,11200,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.445,French Creek/NP
115,11239,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.447,French Creek/NP
116,11300,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.458,French Creek/NP
117,11357,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.467,French Creek/NP
118,11400,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.472,French Creek/NP
119,11500,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.48,French Creek/NP
120,11545,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.483,French Creek/NP
121,11600,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.488,French Creek/NP
122,11700,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.506,French Creek/NP
123,11800,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.52,French Creek/NP
124,11900,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.533,French Creek/NP
125,12000,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.537,French Creek/NP
126,12100,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.549,French Creek/NP
127,12200,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.561,French Creek/NP
128,12300,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.567,French Creek/NP
129,12400,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.578,French Creek/NP
130,12500,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.592,French Creek/NP
131,12600,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.602,French Creek/NP
132,12700,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.608,French Creek/NP
133,12800,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.62,French Creek/NP
134,12900,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.627,French Creek/NP
135,13000,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.634,French Creek/NP
136,13100,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.643,French Creek/NP
137,13200,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.649,French Creek/NP
138,13300,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.659,French Creek/NP
139,13400,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.667,French Creek/NP
140,13500,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.676,French Creek/NP
141,13600,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.693,French Creek/NP
142,13700,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.703,French Creek/NP
143,13800,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.711,French Creek/NP
144,13900,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.722,French Creek/NP
145,13915,userLabel.NP.001.502.714.1F_filt.fastq.gz,9.723,French Creek/NP
