Sample,Location,Environmental,Cellular,Metabolic,Genetic
NP-001-502-714-1F_filt.fastq.gz,French Creek NP,0.007873131,0.007873131,0.013121219,0.008592951
NP-002-503-714-1F_filt.fastq.gz,French Creek NP,0.008398931,0.008398931,0.056323465,0.058444407
NP-003-505-714-1F_filt.fastq.gz,French Creek NP,0.007136728,0.007136728,0.020637311,0.014379613
NP-004-506-714-1F_filt.fastq.gz,French Creek NP,0.008074344,0.008074344,0.016260815,0.012469576
NP-007-510-714-1F_filt.fastq.gz,French Creek NP,0.006807753,0.006807753,0.014645482,0.010523006
NP-028-517-716-1F_filt.fastq.gz,French Creek NP,0.008596226,0.008596226,0.009571162,0.006639696
NP-029-518-716-1F_filt.fastq.gz,French Creek NP,0.009467167,0.009467167,0.014571846,0.010314606
NP-036-506-718-1F_filt.fastq.gz,French Creek NP,0.008467018,0.008467018,0.010905663,0.007555356
NP-037-507-718-1F_filt.fastq.gz,French Creek NP,0.004643987,0.004643987,0.021507527,0.01378977
NP-008-511-714-1F_filt.fastq.gz,Cranberry NP,0.005065468,0.005065468,0.022552565,0.015439393
NP-009-513-714-1F_filt.fastq.gz,Cranberry NP,0.003142819,0.003142819,0.029561763,0.017863082
NP-010-515-714-1F_filt.fastq.gz,Cranberry NP,0.003396397,0.003396397,0.029059236,0.017667724
NP-011-516-715-1F_filt.fastq.gz,Cranberry NP,0.004408943,0.004408943,0.025240388,0.015431241
NP-014-520-715-1F_filt.fastq.gz,Cranberry NP,0.008315489,0.008315489,0.011137939,0.007425774
NP-015-521-715-1F_filt.fastq.gz,Cranberry NP,0.006388485,0.006388485,0.017985154,0.011260704
NP-017-502-715-1F_filt.fastq.gz,Cranberry NP,0.002908269,0.002908269,0.030349798,0.018275115
NP-018-503-715-1F_filt.fastq.gz,Cranberry NP,0.002703802,0.002703802,0.031076084,0.018687217
NP-019-505-715-1F_filt.fastq.gz,Cranberry NP,0.008831626,0.008831626,0.009941622,0.007063005
NP-022-508-715-1F_filt.fastq.gz,Cranberry NP,0.003361762,0.003361762,0.028655542,0.01735274
NP-025-513-716-1F_filt.fastq.gz,Cranberry NP,0.00300504,0.00300504,0.030400072,0.018349035
NP-026-515-716-1F_filt.fastq.gz,Cranberry NP,0.00296829,0.00296829,0.030177638,0.018181289
NP-027-516-716-1F_filt.fastq.gz,Cranberry NP,0.007157898,0.007157898,0.015215342,0.009778926
NP-034-503-718-1F_filt.fastq.gz,Cranberry NP,0.003993857,0.003993857,0.025919138,0.015865518
NP-035-505-718-1F_filt.fastq.gz,Cranberry NP,0.0035982,0.0035982,0.027600235,0.017249658
