Name,Location
NP-001-502-714-1F_filt.fastq.gz,FC_LOW
NP-003-505-714-1F_filt.fastq.gz,FC_LOW
NP-004-506-714-1F_filt.fastq.gz,FC_LOW
NP-007-510-714-1F_filt.fastq.gz,FC_LOW
NP-008-511-714-1F_filt.fastq.gz,CRAN
NP-009-513-714-1F_filt.fastq.gz,CRAN
NP-010-515-714-1F_filt.fastq.gz,CRAN
NP-011-516-715-1F_filt.fastq.gz,CRAN
NP-014-520-715-1F_filt.fastq.gz,CRAN
NP-015-521-715-1F_filt.fastq.gz,CRAN
NP-017-502-715-1F_filt.fastq.gz,CRAN
NP-018-503-715-1F_filt.fastq.gz,CRAN
NP-019-505-715-1F_filt.fastq.gz,CRAN
NP-022-508-715-1F_filt.fastq.gz,CRAN
NP-025-513-716-1F_filt.fastq.gz,CRAN
NP-026-515-716-1F_filt.fastq.gz,CRAN
NP-027-516-716-1F_filt.fastq.gz,CRAN
NP-028-517-716-1F_filt.fastq.gz,FC_LOW
NP-029-518-716-1F_filt.fastq.gz,FC_LOW
NP-034-503-718-1F_filt.fastq.gz,CRAN
NP-035-505-718-1F_filt.fastq.gz,CRAN
NP-036-506-718-1F_filt.fastq.gz,FC_LOW
NP-037-507-718-1F_filt.fastq.gz,FC_LOW
