Sample,Abundance,Location,Genus
H2O-041-513-718-1F_filt.fastq.gz,0.000997293,Cranberry H2O,Aeromonas
H2O-041-513-718-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-041-513-718-1F_filt.fastq.gz,0,Cranberry H2O,Cetobacterium
H2O-041-513-718-1F_filt.fastq.gz,0,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-041-513-718-1F_filt.fastq.gz,0.289072517,Cranberry H2O,Flavobacterium
H2O-041-513-718-1F_filt.fastq.gz,0.147741844,Cranberry H2O,Fluviicola
H2O-041-513-718-1F_filt.fastq.gz,0.133352329,Cranberry H2O,hgcI_clade
H2O-041-513-718-1F_filt.fastq.gz,0.279669469,Cranberry H2O,Limnohabitans
H2O-041-513-718-1F_filt.fastq.gz,0,Cranberry H2O,Plesiomonas
H2O-041-513-718-1F_filt.fastq.gz,0.149166548,Cranberry H2O,Pseudarcicella
H2O-042-515-718-1F_filt.fastq.gz,0.008719916,Cranberry H2O,Aeromonas
H2O-042-515-718-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-042-515-718-1F_filt.fastq.gz,0,Cranberry H2O,Cetobacterium
H2O-042-515-718-1F_filt.fastq.gz,0.00523195,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-042-515-718-1F_filt.fastq.gz,0.086850366,Cranberry H2O,Flavobacterium
H2O-042-515-718-1F_filt.fastq.gz,0.159051273,Cranberry H2O,Fluviicola
H2O-042-515-718-1F_filt.fastq.gz,0.274502965,Cranberry H2O,hgcI_clade
H2O-042-515-718-1F_filt.fastq.gz,0.088071155,Cranberry H2O,Limnohabitans
H2O-042-515-718-1F_filt.fastq.gz,0.000697593,Cranberry H2O,Plesiomonas
H2O-042-515-718-1F_filt.fastq.gz,0.376874782,Cranberry H2O,Pseudarcicella
H2O-043-516-718-1F_filt.fastq.gz,0.00101083,Cranberry H2O,Aeromonas
H2O-043-516-718-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-043-516-718-1F_filt.fastq.gz,0,Cranberry H2O,Cetobacterium
H2O-043-516-718-1F_filt.fastq.gz,0.000144404,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-043-516-718-1F_filt.fastq.gz,0.103826715,Cranberry H2O,Flavobacterium
H2O-043-516-718-1F_filt.fastq.gz,0.181516245,Cranberry H2O,Fluviicola
H2O-043-516-718-1F_filt.fastq.gz,0.161732852,Cranberry H2O,hgcI_clade
H2O-043-516-718-1F_filt.fastq.gz,0.154223827,Cranberry H2O,Limnohabitans
H2O-043-516-718-1F_filt.fastq.gz,0.000144404,Cranberry H2O,Plesiomonas
H2O-043-516-718-1F_filt.fastq.gz,0.397400722,Cranberry H2O,Pseudarcicella
H2O-044-517-718-1F_filt.fastq.gz,0.002455566,Cranberry H2O,Aeromonas
H2O-044-517-718-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-044-517-718-1F_filt.fastq.gz,0,Cranberry H2O,Cetobacterium
H2O-044-517-718-1F_filt.fastq.gz,0.000350795,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-044-517-718-1F_filt.fastq.gz,0.247661366,Cranberry H2O,Flavobacterium
H2O-044-517-718-1F_filt.fastq.gz,0.155168382,Cranberry H2O,Fluviicola
H2O-044-517-718-1F_filt.fastq.gz,0.167095416,Cranberry H2O,hgcI_clade
H2O-044-517-718-1F_filt.fastq.gz,0.088985033,Cranberry H2O,Limnohabitans
H2O-044-517-718-1F_filt.fastq.gz,0.000233863,Cranberry H2O,Plesiomonas
H2O-044-517-718-1F_filt.fastq.gz,0.338049579,Cranberry H2O,Pseudarcicella
H2O-045-518-719-1F_filt.fastq.gz,0.001107283,Cranberry H2O,Aeromonas
H2O-045-518-719-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-045-518-719-1F_filt.fastq.gz,0,Cranberry H2O,Cetobacterium
H2O-045-518-719-1F_filt.fastq.gz,0.000123031,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-045-518-719-1F_filt.fastq.gz,0.250369094,Cranberry H2O,Flavobacterium
H2O-045-518-719-1F_filt.fastq.gz,0.117002953,Cranberry H2O,Fluviicola
H2O-045-518-719-1F_filt.fastq.gz,0.150221457,Cranberry H2O,hgcI_clade
H2O-045-518-719-1F_filt.fastq.gz,0.094242126,Cranberry H2O,Limnohabitans
H2O-045-518-719-1F_filt.fastq.gz,0.000246063,Cranberry H2O,Plesiomonas
H2O-045-518-719-1F_filt.fastq.gz,0.386687992,Cranberry H2O,Pseudarcicella
H2O-046-520-719-1F_filt.fastq.gz,0.000635526,Cranberry H2O,Aeromonas
H2O-046-520-719-1F_filt.fastq.gz,0,Cranberry H2O,Brevinema
H2O-046-520-719-1F_filt.fastq.gz,0.000794407,Cranberry H2O,Cetobacterium
H2O-046-520-719-1F_filt.fastq.gz,0.000317763,Cranberry H2O,Clostridium_sensu_stricto_1
H2O-046-520-719-1F_filt.fastq.gz,0.150460756,Cranberry H2O,Flavobacterium
H2O-046-520-719-1F_filt.fastq.gz,0.147124245,Cranberry H2O,Fluviicola
