,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
H2O-041-513-718-1F_filt.fastq.gz,0,0.237461216,0.21797777,0.236490104,0.2476623,0.078234429,0.089623544,0.132167768,0.128531139,0.179946365,0.263227362,0.185364395,0.200934109,0.227168246,0.21116958,0.109455753,0.116423715,0.12908141,0.154300992,0.146806816,0.127947583,0.136733038,0.823407566,0.639846112,0.791084597,0.715631139,0.84534549,0.718541605,0.636727287,0.644041945,0.589633056,0.629953889,0.575027237,0.640696032,0.62772649,0.694268465,0.685121005,0.650066271,0.633556369,0.644012027,0.830902172,0.714686006,0.594716878,0.652100103,0.727648999,0.899003434
H2O-042-515-718-1F_filt.fastq.gz,0.237461216,0,0.149943092,0.182284809,0.201481496,0.198171518,0.227295924,0.129547518,0.169948966,0.140846826,0.262213472,0.196587406,0.216290458,0.262548221,0.198732632,0.193224869,0.197746919,0.169641904,0.155909624,0.141824208,0.164398744,0.17883776,0.805348771,0.607464181,0.762589791,0.699045527,0.82575608,0.691147353,0.610721169,0.611605732,0.576061018,0.685835265,0.606216234,0.610386251,0.612298786,0.684921333,0.657859289,0.62455188,0.600809824,0.672480855,0.819834592,0.701524876,0.595499968,0.625201934,0.739846536,0.895988137
H2O-043-516-718-1F_filt.fastq.gz,0.21797777,0.149943092,0,0.142826542,0.154871631,0.189130215,0.201695885,0.154810591,0.159609374,0.194634825,0.183012888,0.230479332,0.249337006,0.268482233,0.195156997,0.201437198,0.196705876,0.16577895,0.111303717,0.181919711,0.175663856,0.192957989,0.828434232,0.627493389,0.796248872,0.724719857,0.844880108,0.730631338,0.612341281,0.626427341,0.581621146,0.689922951,0.625508305,0.616465413,0.602028884,0.670697128,0.681847022,0.630655238,0.612151086,0.693170702,0.834299598,0.734750933,0.588681992,0.659145029,0.765715968,0.904850638
H2O-044-517-718-1F_filt.fastq.gz,0.236490104,0.182284809,0.142826542,0,0.060623825,0.270111982,0.290399087,0.210374193,0.236874274,0.168492539,0.172616451,0.259037494,0.263507885,0.296335809,0.251223027,0.221297254,0.210317144,0.176612274,0.13598554,0.193622168,0.189393998,0.187945863,0.832335892,0.633647993,0.796700911,0.733479183,0.843249387,0.722686893,0.599479262,0.606961443,0.577610452,0.695261663,0.635204171,0.601509668,0.591913272,0.653264346,0.674983633,0.607906531,0.593906775,0.711351975,0.838757289,0.736998915,0.580306096,0.653218202,0.786390875,0.905062119
H2O-045-518-719-1F_filt.fastq.gz,0.2476623,0.201481496,0.154871631,0.060623825,0,0.286708914,0.308608552,0.235076989,0.248056875,0.177347256,0.162785872,0.252233877,0.259259793,0.309214757,0.26389747,0.236671169,0.227344025,0.206039812,0.152313503,0.205600652,0.214165236,0.219063212,0.831606883,0.63924824,0.796493728,0.735219749,0.842216517,0.722634565,0.608191098,0.613438483,0.583917164,0.700863977,0.640475642,0.603422772,0.597015528,0.660198989,0.680222505,0.612662034,0.603436043,0.712434208,0.837830419,0.738959165,0.589925072,0.654208122,0.785339046,0.90231607
H2O-046-520-719-1F_filt.fastq.gz,0.078234429,0.198171518,0.189130215,0.270111982,0.286708914,0,0.037779939,0.105528117,0.107115354,0.170701435,0.271260728,0.197572164,0.209706909,0.21812497,0.179809093,0.102573526,0.115450469,0.135792641,0.182525502,0.142515858,0.138358133,0.151433275,0.824108702,0.632016058,0.794809117,0.717687367,0.844571153,0.725425637,0.641519991,0.655874055,0.600671071,0.636576897,0.577406968,0.647511721,0.634480058,0.70064731,0.689293841,0.661126285,0.638431063,0.641147514,0.829839327,0.721635205,0.604625526,0.660869006,0.724646762,0.897420767
H2O-047-521-719-1F_filt.fastq.gz,0.089623544,0.227295924,0.201695885,0.290399087,0.308608552,0.037779939,0,0.128434162,0.107326123,0.201346528,0.291205547,0.2217243,0.226360631,0.235269138,0.201863949,0.121720454,0.132629887,0.161824157,0.205008885,0.172629655,0.164912064,0.175569396,0.824153152,0.633186034,0.794776372,0.716845551,0.846125324,0.72537477,0.645795048,0.660017408,0.602988468,0.626457746,0.57034541,0.650744418,0.638227608,0.704890337,0.690296601,0.665320039,0.642557486,0.632486255,0.828169435,0.719727705,0.606244786,0.662532332,0.717201202,0.898420673
H2O-048-522-719-1F_filt.fastq.gz,0.132167768,0.129547518,0.154810591,0.210374193,0.235076989,0.105528117,0.128434162,0,0.082422906,0.111362496,0.239369088,0.152106064,0.18188141,0.225824242,0.170535758,0.093629513,0.089264462,0.113888357,0.131206613,0.110059787,0.127210631,0.145234137,0.816677682,0.634925974,0.786298277,0.71672273,0.835032532,0.715965389,0.629571734,0.641717097,0.5883991,0.648324829,0.580949004,0.635914114,0.622844174,0.693677417,0.68679812,0.646805896,0.626715646,0.647877502,0.823784761,0.713353421,0.593239581,0.648564803,0.725919317,0.898709561
H2O-049-502-719-1F_filt.fastq.gz,0.128531139,0.169948966,0.159609374,0.236874274,0.248056875,0.107115354,0.107326123,0.082422906,0,0.153909765,0.228583642,0.191234597,0.216230955,0.249230839,0.182954846,0.118055744,0.112135035,0.145021004,0.150919324,0.160139468,0.170109611,0.187204986,0.826242733,0.654329223,0.795748273,0.727321841,0.844657694,0.72838329,0.637419792,0.659076854,0.603098065,0.62816732,0.560978992,0.64623019,0.628988421,0.697866841,0.704198158,0.661338677,0.637787995,0.632749373,0.827922744,0.72336393,0.601059229,0.657311675,0.713223082,0.905192409
H2O-050-503-719-1F_filt.fastq.gz,0.179946365,0.140846826,0.194634825,0.168492539,0.177347256,0.170701435,0.201346528,0.111362496,0.153909765,0,0.217946937,0.131519035,0.158093083,0.229498648,0.173750575,0.126519273,0.128709207,0.134250368,0.134650132,0.110457197,0.145563341,0.152749966,0.806981194,0.633024228,0.773554493,0.714240496,0.826667271,0.699975757,0.624405758,0.626800173,0.580890317,0.658372088,0.586244521,0.622418813,0.623339857,0.69100838,0.67869026,0.633791626,0.617131928,0.656858777,0.822260428,0.704746605,0.586573334,0.636216911,0.732666146,0.892871829
H2O-051-505-719-1F_filt.fastq.gz,0.263227362,0.262213472,0.183012888,0.172616451,0.162785872,0.271260728,0.291205547,0.239369088,0.228583642,0.217946937,0,0.275606137,0.305265657,0.336071478,0.265864842,0.250813328,0.246257348,0.247458951,0.166602214,0.261039153,0.264798626,0.275850347,0.847186495,0.675304733,0.813987196,0.764367413,0.857492365,0.753562599,0.609864517,0.649211171,0.60375136,0.685610682,0.619113344,0.619339403,0.59402492,0.648850986,0.716983192,0.6370675,0.604648941,0.696061457,0.846787491,0.757082014,0.575343944,0.679459074,0.771999955,0.916169421
H2O-052-506-719-1F_filt.fastq.gz,0.185364395,0.196587406,0.230479332,0.259037494,0.252233877,0.197572164,0.2217243,0.152106064,0.191234597,0.131519035,0.275606137,0,0.069426576,0.181280418,0.14668812,0.165354626,0.163801096,0.184112613,0.171343433,0.149235874,0.185043687,0.194918168,0.762397632,0.612346359,0.733039537,0.670609635,0.788009644,0.658259094,0.633791663,0.60520421,0.579949701,0.657082285,0.585446508,0.62398625,0.641978008,0.713916272,0.644956508,0.616586955,0.632552549,0.64708045,0.787057644,0.655015123,0.605222465,0.601398531,0.688441218,0.895345511
H2O-053-507-719-1F_filt.fastq.gz,0.200934109,0.216290458,0.249337006,0.263507885,0.259259793,0.209706909,0.226360631,0.18188141,0.216230955,0.158093083,0.305265657,0.069426576,0,0.167781939,0.161145587,0.171262198,0.173604622,0.184772473,0.207258595,0.165157263,0.190744369,0.199806671,0.751799069,0.610038961,0.722178958,0.657996076,0.77868321,0.646638143,0.630116746,0.595949214,0.575332812,0.650609799,0.585715052,0.62132382,0.647906343,0.721245556,0.638970832,0.610946759,0.633789381,0.644565735,0.774928665,0.636309715,0.600480973,0.591145991,0.674896115,0.893911535
H2O-054-508-719-1F_filt.fastq.gz,0.227168246,0.262548221,0.268482233,0.296335809,0.309214757,0.21812497,0.235269138,0.225824242,0.249230839,0.229498648,0.336071478,0.181280418,0.167781939,0,0.091688555,0.196654696,0.202066249,0.202359062,0.23728976,0.182095329,0.185313803,0.203733651,0.777125289,0.627572592,0.666564032,0.601222905,0.711505951,0.592452925,0.662692418,0.607588825,0.61401122,0.686509045,0.628003382,0.653073814,0.66586913,0.73232607,0.613660577,0.637656252,0.666503173,0.683149161,0.714156588,0.6026416,0.641761389,0.539486743,0.624439148,0.905162697
H2O-055-510-719-1F_filt.fastq.gz,0.21116958,0.198732632,0.195156997,0.251223027,0.26389747,0.179809093,0.201863949,0.170535758,0.182954846,0.173750575,0.265864842,0.14668812,0.161145587,0.091688555,0,0.16782515,0.17037829,0.177263631,0.177228352,0.166121712,0.175097346,0.194723969,0.776977921,0.619376392,0.712334741,0.64635152,0.746981572,0.640766847,0.645196596,0.596555267,0.601054969,0.68038557,0.614042161,0.638473588,0.649849004,0.714366034,0.617352773,0.625052192,0.650150947,0.67255122,0.754319588,0.63379987,0.620752086,0.573603328,0.666861837,0.906121573
