,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
H2O-041-513-718-1F_filt.fastq.gz,0,0.310833451,0.248629812,0.285160402,0.312245289,0.116590508,0.110091761,0.174611389,0.155886828,0.201313268,0.297849722,0.185547859,0.199832028,0.234888008,0.23313832,0.145750144,0.163836514,0.160357901,0.175786126,0.178337391,0.161274314,0.165502846,0.780698957,0.806438412,0.644570685,0.677522701,0.843525985,0.641809106,0.808744932,0.684287622,0.697818622,0.774078936,0.775696675,0.763075141,0.800037258,0.918091299,0.726510667,0.716541752,0.790693427,0.805520845,0.807207363,0.684135078,0.782483232,0.6747128,0.779913065,0.795201234
H2O-042-515-718-1F_filt.fastq.gz,0.310833451,0,0.173564993,0.2182856,0.251012636,0.269560323,0.294822171,0.161370436,0.2183171,0.176062473,0.306972792,0.230715956,0.226811863,0.328045022,0.263393127,0.233154483,0.216844146,0.208781137,0.189038932,0.195272398,0.230371997,0.247542538,0.795854888,0.813033106,0.602473683,0.642890293,0.8344509,0.641116965,0.758753118,0.669400907,0.650403079,0.735313258,0.724773658,0.72640759,0.755793724,0.901991873,0.7527845,0.685040513,0.748177188,0.744032274,0.737302727,0.703118555,0.724369959,0.635178809,0.71640094,0.830268458
H2O-043-516-718-1F_filt.fastq.gz,0.248629812,0.173564993,0,0.168841919,0.203392781,0.238385189,0.249476182,0.167100971,0.17623377,0.195187122,0.21090501,0.226718519,0.235441008,0.294641319,0.223916643,0.216103599,0.196563242,0.178324375,0.128543484,0.206886017,0.212999318,0.224087225,0.80957915,0.824172813,0.622044096,0.65334843,0.852538908,0.648993242,0.764837593,0.666505861,0.66261933,0.766602969,0.749841594,0.727326333,0.740912335,0.907709374,0.757489943,0.677025354,0.748727325,0.781211207,0.765583879,0.733467359,0.741221355,0.6403074,0.769876051,0.825774274
H2O-044-517-718-1F_filt.fastq.gz,0.285160402,0.2182856,0.168841919,0,0.082277545,0.335620718,0.353186929,0.260777589,0.288726256,0.198202184,0.224397318,0.275537582,0.275160396,0.341120944,0.297175484,0.278840415,0.244966425,0.222695344,0.170202346,0.241902253,0.256690218,0.253694149,0.846271178,0.793651989,0.655101564,0.649888801,0.821449398,0.688546737,0.749499299,0.697425221,0.698773236,0.786252751,0.738742194,0.707592707,0.738780254,0.903259058,0.801895198,0.702103437,0.736195557,0.769313336,0.749069764,0.779413822,0.726066406,0.668978026,0.762655543,0.866862256
H2O-045-518-719-1F_filt.fastq.gz,0.312245289,0.251012636,0.203392781,0.082277545,0,0.371513579,0.392319148,0.312463973,0.31574748,0.226984887,0.215730173,0.287090311,0.289181699,0.37178484,0.328543217,0.308768736,0.279568209,0.273598247,0.202768802,0.271293839,0.299913504,0.30653643,0.858143833,0.788956784,0.665422234,0.667669308,0.814229837,0.695655968,0.768577602,0.721916209,0.72431699,0.799723782,0.757198521,0.720713716,0.750681444,0.903324859,0.812032627,0.726727444,0.755910157,0.778119292,0.756840295,0.792768321,0.745168162,0.686451196,0.756848097,0.876190143
H2O-046-520-719-1F_filt.fastq.gz,0.116590508,0.269560323,0.238385189,0.335620718,0.371513579,0,0.050340088,0.146849077,0.1394691,0.203455416,0.312006406,0.211628141,0.212862954,0.197531005,0.171378603,0.128857614,0.163962511,0.166130198,0.217156492,0.165600714,0.152239913,0.165900902,0.758185342,0.834553027,0.662028303,0.690138976,0.868449036,0.63005313,0.8198245,0.698433571,0.709360314,0.782137799,0.78549518,0.775483744,0.813293771,0.923235799,0.70253029,0.728601142,0.800590867,0.816484152,0.81596202,0.66399946,0.791891944,0.689477898,0.790286271,0.771731965
H2O-047-521-719-1F_filt.fastq.gz,0.110091761,0.294822171,0.249476182,0.353186929,0.392319148,0.050340088,0,0.160942316,0.132133106,0.23186713,0.332844943,0.2372034,0.239333346,0.212652684,0.18714313,0.149470464,0.181633778,0.191528638,0.238316373,0.196534086,0.178237764,0.188086696,0.752858774,0.833412536,0.66090464,0.687138119,0.866401764,0.627707348,0.819474736,0.696286641,0.706043924,0.779494477,0.78274226,0.774646081,0.811277365,0.920126626,0.693148572,0.727878118,0.799970725,0.812259338,0.81532564,0.655760971,0.789238023,0.687054235,0.787673152,0.769060437
H2O-048-522-719-1F_filt.fastq.gz,0.174611389,0.161370436,0.167100971,0.260777589,0.312463973,0.146849077,0.160942316,0,0.103145374,0.138232941,0.287653461,0.15104527,0.167836938,0.24343959,0.20255108,0.115695062,0.1183751,0.139187363,0.160209556,0.138770751,0.149706601,0.174877439,0.77758162,0.824703476,0.625828827,0.652313231,0.860787726,0.629455053,0.784452232,0.661582587,0.670276245,0.758476107,0.745840513,0.744140974,0.772981131,0.905093762,0.720854544,0.698509232,0.765376575,0.781245151,0.777432682,0.680074801,0.752776177,0.654156088,0.757652766,0.801343615
H2O-049-502-719-1F_filt.fastq.gz,0.155886828,0.2183171,0.17623377,0.288726256,0.31574748,0.1394691,0.132133106,0.103145374,0,0.17401538,0.260750358,0.188768578,0.211982906,0.244354414,0.184479782,0.148078991,0.155458586,0.183686902,0.17988962,0.186090389,0.192475693,0.216436858,0.77823547,0.83751109,0.645273578,0.663986533,0.871531203,0.633919495,0.802085353,0.681404707,0.69026465,0.773299115,0.765137728,0.759981373,0.784895871,0.910029036,0.716292665,0.712688297,0.782527923,0.801778976,0.794554593,0.68473823,0.771556202,0.671805823,0.777149403,0.795272381
H2O-050-503-719-1F_filt.fastq.gz,0.201313268,0.176062473,0.195187122,0.198202184,0.226984887,0.203455416,0.23186713,0.138232941,0.17401538,0,0.246530477,0.127385702,0.146249274,0.245119398,0.204107082,0.149279965,0.14034044,0.149591248,0.134218328,0.134104313,0.173740604,0.189605741,0.794352939,0.809573247,0.622887354,0.659857463,0.836876815,0.643280171,0.788699987,0.685354711,0.682928539,0.759179231,0.757212546,0.745408218,0.784024694,0.911796926,0.750484526,0.703120599,0.77205163,0.783914188,0.774675313,0.708708347,0.762797422,0.663164352,0.758349753,0.821421438
