C_C,C_F,F_F,F_C
0.718541605,0.823407566,0.762397632,0.658259094
0.636727287,0.639846112,0.612346359,0.633791663
0.644041945,0.791084597,0.733039537,0.60520421
0.589633056,0.715631139,0.670609635,0.579949701
0.629953889,0.84534549,0.788009644,0.657082285
0.575027237,0.830902172,0.787057644,0.585446508
0.640696032,0.714686006,0.655015123,0.62398625
0.62772649,0.727648999,0.688441218,0.641978008
0.694268465,0.899003434,0.895345511,0.713916272
0.685121005,0.805348771,0.751799069,0.644956508
0.650066271,0.607464181,0.610038961,0.616586955
0.633556369,0.762589791,0.722178958,0.632552549
0.644012027,0.699045527,0.657996076,0.64708045
0.594716878,0.82575608,0.77868321,0.605222465
0.652100103,0.819834592,0.774928665,0.601398531
0.691147353,0.701524876,0.636309715,0.646638143
0.610721169,0.739846536,0.674896115,0.630116746
0.611605732,0.895988137,0.893911535,0.595949214
0.576061018,0.828434232,0.777125289,0.575332812
0.685835265,0.627493389,0.627572592,0.650609799
0.606216234,0.796248872,0.666564032,0.585715052
0.610386251,0.724719857,0.601222905,0.62132382
0.612298786,0.844880108,0.711505951,0.647906343
0.684921333,0.834299598,0.714156588,0.721245556
0.657859289,0.734750933,0.6026416,0.638970832
0.62455188,0.765715968,0.624439148,0.610946759
0.600809824,0.904850638,0.905162697,0.633789381
0.672480855,0.832335892,0.776977921,0.644565735
0.595499968,0.633647993,0.619376392,0.600480973
0.625201934,0.796700911,0.712334741,0.591145991
0.730631338,0.733479183,0.64635152,0.592452925
0.612341281,0.843249387,0.746981572,0.662692418
0.626427341,0.838757289,0.754319588,0.607588825
0.581621146,0.736998915,0.63379987,0.61401122
0.689922951,0.786390875,0.666861837,0.686509045
0.625508305,0.905062119,0.906121573,0.628003382
0.616465413,0.831606883,0.818325302,0.653073814
0.602028884,0.63924824,0.645738558,0.66586913
0.670697128,0.796493728,0.791952137,0.73232607
0.681847022,0.735219749,0.723897282,0.613660577
0.630655238,0.842216517,0.845406778,0.637656252
0.612151086,0.837830419,0.826061474,0.666503173
0.693170702,0.738959165,0.712235176,0.683149161
0.588681992,0.785339046,0.733552024,0.641761389
0.659145029,0.90231607,0.900149625,0.539486743
0.722686893,0.824108702,0.818698429,0.640766847
0.599479262,0.632016058,0.651787772,0.645196596
0.606961443,0.794809117,0.791246337,0.596555267
0.577610452,0.717687367,0.725450284,0.601054969
0.695261663,0.844571153,0.842672774,0.68038557
0.635204171,0.829839327,0.825631731,0.614042161
0.601509668,0.721635205,0.709434884,0.638473588
0.591913272,0.724646762,0.723929453,0.649849004
0.653264346,0.897420767,0.900125845,0.714366034
0.674983633,0.824153152,0.824982444,0.617352773
0.607906531,0.633186034,0.636126884,0.625052192
0.593906775,0.794776372,0.796558959,0.650150947
0.711351975,0.716845551,0.726212033,0.67255122
0.580306096,0.846125324,0.848844858,0.620752086
0.653218202,0.828169435,0.833146622,0.573603328
0.722634565,0.719727705,0.722082163,0.722876168
0.608191098,0.717201202,0.758878019,0.635937101
0.613438483,0.898420673,0.901089695,0.64568523
0.583917164,0.816677682,0.823414572,0.590570131
0.700863977,0.634925974,0.645998734,0.641857751
0.640475642,0.786298277,0.793423339,0.582732365
0.603422772,0.71672273,0.731065318,0.638237751
0.597015528,0.835032532,0.843119267,0.628364844
0.660198989,0.823784761,0.835238745,0.699976314
0.680222505,0.713353421,0.725781488,0.69231899
0.612662034,0.725919317,0.761015325,0.651017712
0.603436043,0.898709561,0.901897814,0.635291847
0.712434208,0.826242733,0.811367977,0.651304496
0.589925072,0.654329223,0.629746827,0.5927137
0.654208122,0.795748273,0.783851715,0.653632758
0.725425637,0.727321841,0.714468883,0.721865713
0.641519991,0.844657694,0.836982361,0.637334635
0.655874055,0.827922744,0.830075796,0.648482982
0.600671071,0.72336393,0.71109098,0.588733421
0.636576897,0.713223082,0.755719593,0.634162712
0.577406968,0.905192409,0.889807173,0.571711173
0.647511721,0.806981194,0.821912578,0.64040583
0.634480058,0.633024228,0.626800037,0.630064112
0.70064731,0.773554493,0.793090711,0.699110087
0.689293841,0.714240496,0.7211345,0.695830416
0.661126285,0.826667271,0.846838326,0.652002065
0.638431063,0.822260428,0.835068511,0.636041452
0.641147514,0.704746605,0.721819883,0.641297377
0.604625526,0.732666146,0.765771399,0.590371831
0.660869006,0.892871829,0.897833327,0.652771733
0.72537477,0.847186495,0.820768596,0.727539268
0.645795048,0.675304733,0.62958844,0.623982987
0.660017408,0.813987196,0.792102942,0.634402517
0.602988468,0.764367413,0.720536482,0.582295011
0.626457746,0.857492365,0.844717713,0.665262662
0.57034541,0.846787491,0.834655436,0.60320141
0.650744418,0.757082014,0.719827018,0.627910983
0.638227608,0.771999955,0.767078745,0.613925282
0.704890337,0.916169421,0.894670919,0.686220234
0.690296601,,,0.684310688
0.665320039,,,0.640707326
0.642557486,,,0.622557357
0.632486255,,,0.678528033
0.606244786,,,0.583232493
0.662532332,,,0.65480475
0.715965389,,,0.725455592
0.629571734,,,0.615927422
0.641717097,,,0.630131699
0.5883991,,,0.580924439
0.648324829,,,0.673993053
0.580949004,,,0.605959199
0.635914114,,,0.619558221
0.622844174,,,0.609601596
0.693677417,,,0.669685566
0.68679812,,,0.687999437
0.646805896,,,0.632633214
0.626715646,,,0.610091372
0.647877502,,,0.68269917
0.593239581,,,0.579506815
0.648564803,,,0.652671069
0.72838329,,,0.710449039
0.637419792,,,0.629515827
0.659076854,,,0.631504814
0.603098065,,,0.58670989
0.62816732,,,0.673357263
0.560978992,,,0.608747388
0.64623019,,,0.622921699
0.628988421,,,0.620734087
0.697866841,,,0.692492969
0.704198158,,,0.676410844
0.661338677,,,0.638030944
0.637787995,,,0.624403624
0.632749373,,,0.6788312
0.601059229,,,0.598234976
0.657311675,,,0.643743807
0.699975757,,,0.72109423
0.624405758,,,0.626173371
0.626800173,,,0.630656382
0.580890317,,,0.584113452
0.658372088,,,0.672327941
0.586244521,,,0.615132296
0.622418813,,,0.625245444
0.623339857,,,0.612608431
0.69100838,,,0.686816462
0.67869026,,,0.674986203
0.633791626,,,0.637272119
0.617131928,,,0.621472998
0.656858777,,,0.687442319
0.586573334,,,0.591800137
0.636216911,,,0.652526213
0.753562599,,,0.719610852
0.609864517,,,0.628102083
0.649211171,,,0.631148362
0.60375136,,,0.58765344
0.685610682,,,0.676453602
0.619113344,,,0.617346084
0.619339403,,,0.623273763
0.59402492,,,0.614129761
0.648850986,,,0.687298987
0.716983192,,,0.676996601
0.6370675,,,0.637337781
0.604648941,,,0.623226148
0.696061457,,,0.68942685
0.575343944,,,0.5964902
0.679459074,,,0.650592295
