CW_CF,CW_FF,FW_FF,FW_CF,CW_FW,CF_FF
0.680302713,0.773233677,0.84858746,0.742412098,0.466580969,0.669083393
0.785939296,0.702866505,0.780350179,0.859275349,0.332132079,0.489334378
0.75667842,0.74626967,0.823150505,0.834214277,0.378274769,0.557015712
0.759891259,0.709828295,0.780815182,0.828832051,0.325652766,0.503885658
0.805514204,0.690028374,0.783429932,0.855040592,0.351232713,0.527126907
0.74751028,0.900191346,0.932254781,0.83306743,0.46051408,0.487189964
0.884549073,0.724432786,0.811245166,0.915057627,0.455914585,0.59476014
0.793332833,0.765309923,0.82587708,0.865622187,0.368501441,0.701191857
0.864274278,0.748595136,0.811420871,0.90082867,0.327665575,0.606622694
0.823500869,0.832853426,0.841580949,0.869660561,0.314378975,0.493349957
0.779151131,0.744079662,0.759352571,0.852244885,0.441907851,0.553613064
0.807726779,0.783569785,0.780034768,0.866305625,0.432120157,0.413827975
0.788343513,0.749972891,0.755199515,0.864535269,0.304202376,0.529254392
0.856555298,0.734416201,0.758804566,0.901878684,0.386361239,0.601470731
0.77335959,0.920137445,0.931554103,0.85689344,0.348247696,0.574333388
0.695556497,0.761369996,0.765324097,0.728603374,0.384529603,0.545480387
0.833101166,0.799863017,0.800920852,0.855684705,0.44068927,0.564741318
0.80290787,0.795653902,0.805239261,0.814233066,0.460110516,0.447907103
0.796846828,0.809989462,0.787383573,0.811233715,0.374700482,0.474548644
0.835583767,0.725989306,0.702928292,0.84487489,0.37601611,0.595435468
0.805478819,0.770894455,0.765209663,0.823319052,0.331650082,0.461077247
0.91045467,0.729262154,0.708259024,0.91373239,0.431901641,0.72191211
0.851616584,0.744019057,0.69573963,0.860526843,0.335858192,0.726889011
0.896481224,0.907568582,0.888740499,0.902737474,0.399628818,0.737050268
0.835989298,0.752993405,0.719083811,0.85707104,0.38314747,0.544334239
0.807080945,0.775101658,0.778129032,0.825855721,0.37138989,0.543497781
0.845748493,0.746144914,0.744545661,0.86029894,0.369544688,0.632027628
0.821021337,0.832199696,0.778532283,0.8425658,0.394664346,0.546866569
0.886502514,0.734843788,0.705890093,0.900082146,0.365107107,0.680667858
0.810192784,0.787510867,0.763531235,0.834542938,0.340792382,0.534754085
0.714097613,0.751141488,0.716331775,0.669261886,0.332509926,0.544029964
0.812253871,0.752123008,0.690038319,0.790906638,0.428812683,0.578868535
0.793814057,0.91803169,0.884223124,0.783352477,0.351140468,0.31030989
0.751086096,0.773060464,0.721368201,0.782312031,0.357621386,0.4843463
0.789706335,0.806231603,0.772534213,0.790405181,0.392215927,0.612629366
0.785545452,0.776692374,0.741573541,0.754263054,0.368375513,0.397598318
0.890757631,0.820040747,0.795283454,0.862229435,0.388480213,0.683261525
0.816344274,0.744837212,0.712227922,0.798942159,0.391102811,0.782462411
0.876347374,0.785909303,0.754610414,0.873689875,0.39335201,0.695782612
0.833560623,0.741597376,0.700166981,0.812646983,0.368554285,0.472183189
0.814555048,0.73845351,0.676649421,0.779632992,0.349252883,0.431307401
0.831424731,0.913758018,0.89107168,0.806847923,0.343741228,0.589682315
0.82384391,0.768107379,0.717332691,0.807920306,0.459864776,0.463341527
0.858511121,0.804010011,0.766239692,0.842249375,0.357170456,0.640605499
0.811640754,0.782286314,0.758964516,0.78523698,0.354581826,0.46385113
0.718505857,0.788225841,0.817714349,0.677234068,0.391248676,0.550958758
0.834997102,0.717531959,0.740132045,0.778766713,0.372073189,0.657653883
0.810717738,0.754439605,0.776372089,0.787979491,0.425010217,0.461675313
0.78961578,0.742562969,0.713087129,0.760873926,0.422531119,0.560689219
0.829452917,0.726344187,0.719321361,0.774054349,0.368852295,0.688583778
0.797165298,0.89717081,0.910351559,0.752116183,0.307228934,0.530949103
0.898455007,0.7352266,0.74714092,0.870752756,0.346756319,0.758918679
0.84775826,0.764127625,0.795864607,0.786185084,0.338620337,0.640683519
0.892353979,0.766388698,0.776534681,0.868692113,0.466927192,0.670869027
0.84259126,0.792929392,0.817523544,0.798912337,0.374437384,0.605961849
0.824370292,0.706367773,0.743707199,0.77935428,0.38989843,0.560874004
0.8453824,0.747417464,0.773738621,0.799276447,0.364698721,0.684929816
0.845658299,0.701064224,0.743368987,0.800534203,0.375426399,0.625555368
0.88352807,0.693205617,0.732000699,0.838068794,0.394539546,0.742451599
0.834841168,0.895942322,0.900446674,0.776910231,0.418313571,0.605248743
0.697948909,0.731620208,0.745742818,0.674375411,0.387716858,0.434306385
0.831554325,0.787003333,0.795962545,0.782257132,0.333927035,0.47122861
0.790876246,0.758093281,0.764170312,0.774474313,0.320408213,0.439788423
0.797443281,0.814816635,0.841043719,0.774233062,0.305643819,0.537646185
0.829234249,0.742342298,0.766766403,0.791560652,0.401946998,0.616954681
0.803546217,0.773815352,0.803302688,0.748019473,0.396713404,0.458721844
0.901658001,0.73438874,0.756982653,0.878462272,0.403465392,0.725567483
0.836781835,0.71687982,0.768576198,0.778900319,0.378819275,0.739030391
0.895924819,0.905940557,0.918572117,0.864246942,0.370132346,0.686683455
0.840280189,0.754793989,0.778398028,0.803454834,0.395594199,0.530002219
0.808901628,0.809012509,0.806169934,0.770269723,0.435178665,0.468012096
0.850025593,0.775593241,0.792108883,0.803857098,0.373027843,0.565218722
0.83341381,0.824357729,0.840641083,0.79435161,0.33078755,0.536328524
0.877494228,0.748514611,0.764761509,0.841503547,0.335348325,0.687818337
0.821565558,0.794094502,0.812016697,0.769899247,0.322278398,0.531670224
